,t,biod0_x,biod0_y,biod1_x,biod1_y,biod2_x,biod2_y,biod3_x,biod3_y,biod4_x,biod4_y,biod5_x,biod5_y
0,0,0.43507602336330276,0.38630198358455947,0.2470781648104621,0.3315068300661675,0.9419160237941587,0.938766493634948,0.3270408297987309,0.9130347236508003,0.8532657251548934,0.22545649014439906,0.004603587938263513,0.9189564396358852
1,1,0.4385996490161014,0.3838624325607612,0.24664050682240465,0.327243521207515,0.9403642133710001,0.9347715929666771,0.32525231180271963,0.9091400413381182,0.856941874420695,0.22325347550206864,0.008158919497239406,0.9213495473318584
2,2,0.4421737783610629,0.3814974914696851,0.24626430922621714,0.32297435005758457,0.9386149279525642,0.9308591324283939,0.3236440669643253,0.9051675238141099,0.8605955141974306,0.221013327444321,0.011824102114519895,0.9235707594605755
3,3,0.4457977384373037,0.37920964088352604,0.245952168005835,0.3187000179697241,0.9366722178960216,0.9270390245012557,0.32221591225241714,0.9011267663284854,0.8642683366385414,0.21880477084444647,0.015591733675362802,0.9256133801694972
4,4,0.4494707663054671,0.377001425944153,0.24570675775854425,0.3144213358420941,0.9346345128559723,0.9232687320578856,0.32096674903954464,0.8970271397349551,0.8679601944777655,0.2166281834619289,0.019453881522625203,0.9274711102211092
5,5,0.45319200573704327,0.37487546168489133,0.24553082840085783,0.310139234045093,0.932511160606445,0.9195460015864168,0.3198946019225116,0.8928777003152004,0.8716709406577338,0.21448395639218423,0.023402104127359158,0.9291381090820096
6,6,0.45696049834049357,0.37283442997604505,0.24542720083755099,0.30585477278760703,0.9303110710709896,0.9158681009658514,0.31899666511801417,0.8886871088970466,0.8754004285782693,0.21237249557337765,0.027427480614918624,0.9276671600440825
7,7,0.46077517451123406,0.37088107577079693,0.24539876180616987,0.30156915286042385,0.9280426647628304,0.9122319381862336,0.3182693620365155,0.8844635585935202,0.8791485122476648,0.21029422327505232,0.03138976570761702,0.9260338677300873
8,8,0.46463477010960674,0.36901804899809665,0.24544861348573765,0.29728372852334595,0.925713842090736,0.9086341705588409,0.31770824317904545,0.8802147361017507,0.8829150463384118,0.20824957956965606,0.035284975321418555,0.9242464984332368
9,9,0.4685378915238993,0.3672480235282047,0.24557989963309748,0.2930000255823979,0.9233356797375729,0.9050688247466125,0.31730818871108984,0.8759477344189008,0.8866998861465082,0.20623902378435072,0.03911005225248845,0.92231359041417
10,10,0.4725056364251483,0.36562803978217884,0.24579579703360513,0.2887197527813688,0.9209146386931892,0.9015324555350929,0.31706349966344116,0.8716690109867616,0.8905028874931208,0.20426303600694967,0.04286285096585369,0.9202438443534806
11,11,0.47653323063668934,0.3641631739842517,0.24609950503745512,0.28444481320434867,0.9184566554736403,0.8980216628281403,0.3169680051629484,0.8673843607397578,0.8943239091672388,0.2023221237717633,0.04654210720194429,0.9180460225936548
12,12,0.48061549041172763,0.3628583743567689,0.2464942344909913,0.2801773156241166,0.9159671703366993,0.8945331372525245,0.3170151664765926,0.8630989059506752,0.8981628124675384,0.20041682369310815,0.050147387410608174,0.9157288472537652
13,13,0.48474681835773625,0.3617184285943295,0.24698319553871378,0.2759195857087056,0.913451159462239,0.891063694038063,0.31719818188305804,0.858817101155992,0.9020194606350325,0.19854770308412095,0.05367902308449886,0.9133009064790185
14,14,0.48892120201129485,0.3607479297269019,0.24756958423906159,0.2716741769850513,0.9109131690073363,0.8876102969584327,0.3175100890341415,0.8545427519812194,0.9058937181750443,0.19671536156234135,0.057138033261523974,0.9107705714154326
15,15,0.49313221534616525,0.35995124055770306,0.2482565679379048,0.2674438814473496,0.908357349464223,0.8841700740874816,0.31794386174774464,0.850279046061282,0.9097854500662024,0.1949204326428244,0.06052603892893791,0.9081459258133854
16,16,0.4973730234913989,0.359332456900763,0.249047269345886,0.2632317396854674,0.905787489200384,0.880740326988479,0.3184924986590399,0.8460285937937768,0.9136945208533239,0.19316358531876668,0.06384517320260151,0.905434709368288
17,17,0.5016363909255254,0.35889536988379106,0.2499447492697001,0.2590410503954906,0.903207046430419,0.8773185347607553,0.3191491017870501,0.8417934764080292,0.9176207936202754,0.1914455256288051,0.06709799097984714,0.9026442750926222
18,18,0.5059146933968819,0.35864342762382023,0.2509519879534808,0.25487537912033326,0.9006191791590409,0.8739023541559707,0.3199069437755781,0.8375752987850266,0.9215641288381778,0.18976699820930146,0.07028738132407722,0.8997815602673371
19,19,0.5101999337983811,0.3585796966255978,0.2520718649950508,0.2507385660534253,0.8980267728519706,0.8704896167682074,0.3207595232643056,0.8333752446003551,0.9255243830836631,0.18812878782907203,0.07341648521532682,0.8968530699093981
20,20,0.5144837621969831,0.35870682329513154,0.25330713781323355,0.24663473272305794,0.8954324657481422,0.867078324111486,0.3217006084734294,0.8291941316423086,0.929501407621299,0.1865317209031677,0.07648862058713192,0.8938648712553459
21,21,0.5187575001833746,0.359026996002354,0.2546604186570333,0.24256828735928135,0.8928386718347775,0.8636666412314739,0.32272426959852457,0.8250324655288699,0.925507768398816,0.184976666981459,0.07950721585369071,0.8908225975077214
22,22,0.5230121696654785,0.3595419081665419,0.25613415016553653,0.2385439287296833,0.8902476015778172,0.8602528893567366,0.3238249009889607,0.82089049045879,0.921441445987906,0.1836230167351593,0.08247575248109529,0.8877314590070177
23,23,0.5272385999570659,0.360252284073459,0.25773007762587025,0.23456644680261832,0.887659905612371,0.8568365789889293,0.32499723432123084,0.8167682360395645,0.9173127690774676,0.1824735064446491,0.0853977166161126,0.8845962600448388
24,24,0.5314274477875673,0.36115831982975044,0.2594497352957424,0.23064087366774677,0.8850761258321458,0.853417305822586,0.32623634360382403,0.8126655594590176,0.913132226505321,0.18152989066412983,0.08827655924193069,0.8814214195646654
25,25,0.5355692334078047,0.3622596639243777,0.2612944246021694,0.22677248016378038,0.8824967036925102,0.8499947441555984,0.3275376438908459,0.8085821828535876,0.9089103551458285,0.18079290412241258,0.09111566431987968,0.8782109944689591
26,26,0.5396543788818575,0.3635554005467671,0.263265191692677,0.2229667707668679,0.8799219878895159,0.8465686406147539,0.32889688498033987,0.8045177258665589,0.9046576218781166,0.180262237850193,0.0939183240755259,0.8749687043473233
27,27,0.5436732483410343,0.3650440358979772,0.2653628044228486,0.21922947658885655,0.8773522414785851,0.843138808210352,0.33031014125493396,0.8004717335728074,0.9003843020741199,0.17993653124672138,0.09668772051122881,0.8716979566773416
28,28,0.54761618995044,0.36672348771437197,0.26758772888404875,0.21556654633007072,0.8747876484862106,0.8397051207286149,0.33177379867789364,0.7964437000715824,0.8961003575031683,0.17981338153381177,0.09942691222158333,0.8684018717705618
29,29,0.5514735793137,0.3685910782045449,0.269940105597706,0.21198413502819335,0.8722283200587362,0.836267507466612,0.33328453980421197,0.7924330881247561,0.891815316962013,0.17988937166100635,0.10213882563146857,0.8650833069307464
30,30,0.5552358640168529,0.37064353057943633,0.2724197255277714,0.20848859044384058,0.8696743001841829,0.8328259483113507,0.3348393275163357,0.7884393452550905,0.8875381632603887,0.18016011720844327,0.10482624985023906,0.8617448794555508
31,31,0.5588936089881651,0.37287696933248404,0.27502600609087385,0.20508643692508663,0.8671255710161925,0.8293804691622323,0.3364353880554033,0.7844619167272088,0.8832772303672438,0.1806203321787461,0.1074918344254317,0.8583889882458613
32,32,0.5624375423266018,0.37528692440083944,0.2777579673741741,0.201784356598183,0.8645820578235462,0.8259311376940184,0.33807019379580744,0.7805002558217403,0.8790401144921134,0.18126391278713389,0.11013808937461644,0.8550178338912388
33,33,0.5658586012280639,0.3778683393096643,0.28061420880374477,0.19858916774073188,0.8620436335843783,0.8224780594555796,0.3397414461052067,0.7765538317876173,0.8748336025854411,0.18208403748362784,0.11276738696747143,0.8516334371788272
34,34,0.5691479776155883,0.3806155833687119,0.28359288654109993,0.1955078002073532,0.8595101232411612,0.8190213742978618,0.34144705854372387,0.772622135824251,0.8706636211553664,0.18307328053344338,0.11538196481732563,0.848237656030722
35,35,0.572297163058106,0.3835224679531786,0.28669169192170946,0.1925472677971471,0.8569813076307595,0.8155612531226188,0.34318514058382144,0.7687046854083982,0.8665352074147714,0.18422373562828243,0.11798392991983056,0.8448322009151579
36,36,0.5752979925428923,0.38658226685866454,0.28990783128623016,0.18971463747768147,0.8544569271032498,0.8120978949414449,0.34495398197444926,0.7648010272428338,0.862452503635494,0.18552714530656844,0.12057526334509161,0.8414186488036616
37,37,0.5781426866506661,0.3897877406726228,0.29323800759184837,0.18701699541241878,0.8519366848436618,0.8086315242325098,0.34675203782753233,0.7609107390673937,0.8584187742909627,0.1869750315292541,0.12315782534846056,0.8379984557626871
38,38,0.580823891670703,0.3931311650518041,0.29667840422645475,0.1844614097778989,0.849420249912123,0.8051623885802031,0.3485779144696864,0.7570334305387346,0.8544364442499318,0.18855882267175922,0.12573336071480096,0.8345729682768677
39,39,0.5833347171878207,0.39660436273713195,0.3002246714811122,0.18205489040392328,0.8469072600198246,0.8016907565806987,0.35043035607535417,0.7531687433539336,0.8505071550978233,0.19026997248924937,0.12830350419224892,0.8311434334040158
40,40,0.5856687706751764,0.4001987390748209,0.3038719161650415,0.1798043453245426,0.8443973240605064,0.7982169159944171,0.3523082320776894,0.7493163507650833,0.8466318357522511,0.1921000672705683,0.13086978590530546,0.8277110078610495
41,41,0.5878201886379365,0.4039053207464273,0.307614694870662,0.17771653438972848,0.8418900244194432,0.7947411721245814,0.35421052533904057,0.7454759566073706,0.8428107830071871,0.19404091833600695,0.13343363666453428,0.8242767661364213
